Timestamp,Person_ID,Action
11:59:53,7,Entered
12:00:28,4,Exited
12:00:44,6,Exited
12:00:53,54,Entered
12:01:06,66,Entered
12:01:07,66,Exited
12:01:10,69,Entered
12:01:10,69,Entered
12:01:11,69,Exited
12:01:11,69,Exited
12:01:12,69,Exited
12:01:12,69,Exited
12:01:13,69,Exited
12:01:15,69,Exited
12:01:17,69,Entered
12:01:23,65,Entered
2025-03-05 13:18:31,7,Entered
2025-03-05 13:19:15,3,Exited
2025-03-05 13:19:31,0,Exited
2025-03-05 13:19:43,57,Entered
2025-03-05 13:19:56,70,Entered
2025-03-05 13:19:56,70,Exited
2025-03-05 13:19:58,75,Entered
2025-03-05 13:19:58,75,Exited
2025-03-05 13:19:59,75,Exited
2025-03-05 13:20:02,66,Entered
2025-03-05 13:20:05,77,Exited
2025-03-05 13:20:07,79,Exited
2025-03-05 13:20:15,71,Entered
2025-03-05 13:21:37,7,Entered
2025-03-05 13:22:04,117,Exited
2025-03-05 13:22:14,160,Entered
2025-03-05 13:22:39,3,Exited
2025-03-05 13:23:06,0,Exited
2025-03-05 13:23:24,57,Entered
2025-03-05 13:23:45,70,Entered
2025-03-05 13:23:45,70,Exited
2025-03-05 13:23:47,75,Entered
2025-03-05 13:23:47,75,Exited
2025-03-05 13:23:48,75,Exited
2025-03-05 13:23:52,66,Entered
2025-03-05 13:23:54,77,Exited
2025-03-05 13:23:56,79,Exited
2025-03-05 13:24:01,71,Entered
2025-03-05 13:25:15,117,Exited
2025-03-05 13:25:21,160,Entered
2025-03-05 13:32:50,7,Entered
2025-03-05 13:33:25,3,Exited
2025-03-05 13:33:40,0,Exited
2025-03-05 13:33:49,57,Entered
2025-03-05 13:34:02,70,Entered
2025-03-05 13:34:02,70,Exited
2025-03-05 13:34:04,75,Entered
2025-03-05 13:34:04,75,Exited
2025-03-05 13:34:05,75,Exited
2025-03-05 13:34:08,66,Entered
2025-03-05 13:34:11,77,Exited
2025-03-05 13:34:13,79,Exited
2025-03-05 13:34:21,71,Entered
2025-03-05 13:35:32,117,Exited
2025-03-05 13:35:39,160,Entered
